,budget,popularity,revenue,runtime,market_share_genres,promedio_revenue_month,promedio_revenue_cast,promedio_revenue_crew,promedio_revenue_production_companies
2628,23975316.191799864,17.629,84664855.62227103,88.0,0.0210170356182459,92037411.31436121,82675703.11944866,299400353.2128355,105209931.88899848
2629,191802529.5343989,43.013,271651210.8532259,78.0,0.0210170356182459,185691009.3341934,290039389.59056157,263471365.48002914,173882999.32423982
2630,3091217.434329396,4.066,6052650.088694927,172.0,0.072562889367673,92037411.31436121,6052650.088694927,6052650.088694927,6052650.088694927
2631,86311138.29047951,45.754,247760968.673401,117.0,0.072562889367673,118736550.8626721,94057824.59135027,184460043.7961882,593226900.7153279
2632,222171263.3773454,163.3,1313381488.5153804,121.0,0.072562889367673,203966349.12633517,534164562.99451447,377395150.0945396,593226900.7153279
2633,103893036.83113274,15.364,276263340.830688,104.0,0.072562889367673,87242419.5314648,120414080.28011869,140579505.16381934,344958027.02901816
2634,6393417.651146631,9.74,2696166.5593106328,101.0,0.0497985274545262,75051078.40614595,2696166.5593106328,71686010.71541135,2696166.5593106328
2635,52745695.6219597,23.594,164606308.62792498,100.0,0.0497985274545262,118736550.8626721,161291090.32591075,172023287.8295782,107740326.13935083
2636,17112102.219874915,12.437,2823910.240689368,98.0,0.0497985274545262,203966349.12633517,2823910.240689368,45302232.091145895,1546306.9851501195
2637,20778607.36622655,26.678,60201787.1962196,89.0,0.0497985274545262,185691009.3341934,82225202.89899592,70469740.50639686,87245141.19661456
2638,63934176.5114663,8.726,30212119.085809592,101.0,0.0497985274545262,91910688.15824017,24855397.967223376,50355682.713632695,30212119.085809592
2639,124671644.1973593,7.234,334369826.04693264,124.0,0.0497985274545262,87242419.5314648,137950308.23724404,377775397.2235655,228308166.46423396
2640,16942556.77553857,10.204,19566822.95994441,102.0,0.0497985274545262,87242419.5314648,19566822.95994441,22159148.249666944,19566822.95994441
2641,5594240.444753301,17.023,5846582.246026408,92.0,0.0497985274545262,87242419.5314648,5846582.246026408,112859724.54987235,58170945.39254889
2642,76721011.81375957,42.289,398547967.3841946,115.0,0.0497985274545262,87242419.5314648,202645881.9053263,541908740.6315291,208083739.23714146
2643,55942404.44753301,40.018,109247338.70485616,91.0,0.0497985274545262,87242419.5314648,54821767.20306102,110209547.66146421,258087138.06258562
2644,7991772.063933288,54.099,137011555.6305212,113.0,0.0497985274545262,87242419.5314648,72639605.9532215,89217233.29084767,68071867.90909843
2645,65532530.92425296,39.569,388200452.67720366,111.0,0.0152804889792903,201237486.86604062,388200452.67720366,146387731.39412537,224541604.13445777
2646,134261770.67407924,101.677,440587517.5277944,88.0,0.017342567891322,232559979.0270753,192256507.49435282,290097611.00103503,242784299.5647999
2647,68729239.74982628,15.381,109801785.47369008,84.0,0.0069439863624106,106972830.34683679,287709332.0577433,89547488.60704069,170755352.4224434
2648,47950632.38359973,9.74,44233058.21540514,101.0,0.0069439863624106,201237486.86604062,45068680.237086594,216138344.11320263,299184168.6624369
2649,639341.765114663,0.813,3196708.8255733154,153.0,0.0069439863624106,201237486.86604062,3196708.8255733154,3196708.8255733154,3196708.8255733154
2650,4795063.238359973,6.745,19180252.95343989,143.0,0.0069439863624106,182565449.76427466,11256229.06714701,19180252.95343989,22793720.61029449
2651,127868353.0229326,26.57,197763074.450057,96.0,0.0132510360319983,118736550.8626721,90799280.6073579,211059240.01944545,313733730.3202445
2652,15983544.127866575,13.841,31289422.746863104,117.0,0.0132510360319983,91910688.15824017,166375475.7351277,59699391.59399079,31289422.746863104
2653,95901264.76719946,21.372,107589752.47424044,117.0,0.0132510360319983,182565449.76427466,300932336.8913062,170569006.19548622,256678100.51166594
2654,87909492.70326617,17.483,10600898.63534121,96.0,0.0315075603939175,75051078.40614595,257042049.32858786,117770128.07232535,228308166.46423396
2655,11188480.889506605,5.414,19259890.962056987,136.0,0.0315075603939175,92037411.31436121,19259890.962056987,19259890.962056987,19259890.962056987
2656,95901264.76719946,17.12,83629738.92758861,104.0,0.0315075603939175,92037411.31436121,212050934.39863268,346549721.26429653,228308166.46423396
2657,39958860.31966644,18.048,12427426.132325226,100.0,0.0315075603939175,203966349.12633517,12427426.132325226,12427426.132325226,12427426.132325226
2658,79917720.63933288,38.663,190424402.78602365,124.0,0.0315075603939175,203966349.12633517,140508676.34153736,268007538.21179047,190424402.78602365
2659,108688100.06949271,24.097,309955080.66984296,124.0,0.0315075603939175,203966349.12633517,244030306.69854027,252884625.2260213,171445937.4261579
