,budget,genres,popularity,production_companies,production_countries,revenue,runtime,spoken_languages,crew,cast,keywords,month,day,market_share_genres,people_vaccinated,people_fully_vaccinated,total_boosters,New_cases,New_deaths
61,13750689.51773615,6,11.104,2184,70,317107091.71590275,109.0,19,1089,1077,1000,8,18,0.497779124426404,0.0,0.0,0.0,0.0,0.0
62,8594180.948585095,6,20.692,2107,20,248502460.9645277,129.0,19,228,1426,872,10,14,0.497779124426404,0.0,0.0,0.0,0.0,0.0
63,1100055.161418892,12,5.642,1484,70,151257584.69509766,87.0,19,347,2213,124,8,1,0.0334556814192591,0.0,0.0,0.0,0.0,0.0
64,41252068.55320845,18,9.646,1768,70,51565085.691510566,131.0,19,1486,1068,771,1,13,0.0114053459383837,0.0,0.0,0.0,0.0,0.0
65,4921239.63963964,0,9.499,2040,33,6345809.00900901,82.0,37,1227,1182,628,3,17,0.0290699494289876,0.0,0.0,0.0,0.0,0.0
66,11008036.036036037,0,21.63,131,70,57271541.46126127,93.0,19,916,1855,926,6,15,0.0290699494289876,0.0,0.0,0.0,0.0,0.0
67,6475315.315315316,0,5.894,102,70,12950630.630630633,107.0,56,1132,2242,939,7,20,0.0290699494289876,0.0,0.0,0.0,0.0,0.0
68,64753153.15315316,0,19.77,456,70,139122576.9203604,102.0,11,1980,302,768,8,17,0.0290699494289876,0.0,0.0,0.0,0.0,0.0
69,13870125.405405408,1,6.424,1805,70,9441009.72972973,112.0,19,1108,1809,872,6,14,0.1424588949589886,0.0,0.0,0.0,0.0,0.0
70,45327207.20720721,1,22.126,2107,69,1047562499.1293696,121.0,19,833,1861,682,7,5,0.1424588949589886,0.0,0.0,0.0,0.0,0.0
71,6151549.549549551,2,5.198,1895,70,9712972.972972974,76.0,19,1882,1098,1068,8,8,0.0292853415321606,0.0,0.0,0.0,0.0,0.0
72,32376576.57657658,2,38.403,2179,70,207575731.72000003,83.0,19,2473,286,540,11,8,0.0292853415321606,0.0,0.0,0.0,0.0,0.0
73,16188288.28828829,3,9.334,1993,70,200087243.24324328,102.0,19,1798,1371,122,5,9,0.3139264073257227,0.0,0.0,0.0,0.0,0.0
74,4532720.720720721,3,9.032,1156,20,5504018.018018018,116.0,19,733,873,696,5,24,0.3139264073257227,0.0,0.0,0.0,0.0,0.0
75,5031320.000000001,3,16.984,2113,70,906544144.1441444,110.0,19,781,1799,180,8,1,0.3139264073257227,0.0,0.0,0.0,0.0,0.0
76,14893225.225225229,3,7.926,447,70,64753153.15315316,104.0,19,842,862,1186,12,11,0.3139264073257227,0.0,0.0,0.0,0.0,0.0
77,12950630.630630633,3,10.533,1718,70,118787904.64900902,87.0,19,2475,2269,995,12,17,0.3139264073257227,0.0,0.0,0.0,0.0,0.0
78,35614234.23423424,3,15.203,2113,70,1033566046.7974776,129.0,19,788,1690,214,12,25,0.3139264073257227,0.0,0.0,0.0,0.0,0.0
79,11008036.036036037,4,11.068,1172,70,6209827.387387388,112.0,19,1974,625,333,3,7,0.0733310246153545,0.0,0.0,0.0,0.0,0.0
80,19425945.94594595,4,19.378,1518,32,192964396.39639643,130.0,19,2167,36,824,12,5,0.0733310246153545,0.0,0.0,0.0,0.0,0.0
81,77703783.7837838,4,15.708,81,70,344920620.90090096,151.0,19,730,2049,939,12,13,0.0733310246153545,0.0,0.0,0.0,0.0,0.0
82,3237657.657657658,6,12.848,1784,70,19425945.94594595,112.0,19,1504,1830,388,10,14,0.0026181547835915,0.0,0.0,0.0,0.0,0.0
83,3237657.657657658,10,8.072,1602,70,6475315.315315316,93.0,19,279,1400,333,3,26,0.3860086497812294,0.0,0.0,0.0,0.0,0.0
84,71228468.46846847,10,79.394,920,70,2857596439.4612617,122.0,27,2462,623,402,5,31,0.3860086497812294,0.0,0.0,0.0,0.0,0.0
85,35614234.23423424,18,16.084,1237,70,101662450.45045048,105.0,19,412,434,520,4,19,0.0233015775739648,0.0,0.0,0.0,0.0,0.0
86,30037582.60432433,18,10.047,1301,70,71228468.46846847,106.0,19,2086,883,1074,5,23,0.0233015775739648,0.0,0.0,0.0,0.0,0.0
87,40815169.84958594,0,13.788,2113,70,464515424.7918608,123.0,19,1483,373,444,1,1,0.3221850593254622,0.0,0.0,0.0,0.0,0.0
88,17492215.649822544,0,14.075,1518,70,128276248.09869868,93.0,23,1593,362,824,7,24,0.3221850593254622,0.0,0.0,0.0,0.0,0.0
89,5830738.549940849,0,13.566,884,70,233229541.99763396,105.0,19,840,771,536,7,28,0.3221850593254622,0.0,0.0,0.0,0.0,0.0
90,17492215.649822544,0,10.578,2113,70,274044711.8472199,107.0,19,928,373,536,10,18,0.3221850593254622,0.0,0.0,0.0,0.0,0.0
91,81630339.69917189,0,12.852,2108,70,676365671.7931384,165.0,19,1108,2049,1028,12,14,0.3221850593254622,0.0,0.0,0.0,0.0,0.0
92,5714123.778942032,1,5.364,8,70,26821397.329727903,115.0,19,1775,175,200,8,12,0.1080469147419331,0.0,0.0,0.0,0.0,0.0
93,40815169.84958594,1,22.281,2107,69,568916821.7948285,125.0,62,833,1861,682,12,1,0.1080469147419331,0.0,0.0,0.0,0.0,0.0
94,16326067.939834377,3,17.362,485,70,503037248.554984,106.0,19,1531,721,770,12,15,0.0912340705394179,0.0,0.0,0.0,0.0,0.0
95,17492215.649822544,4,10.847,2113,70,74633453.43924287,110.0,19,2256,748,939,4,5,0.1218537172160873,0.0,0.0,0.0,0.0,0.0
96,9329181.67990536,4,16.161,1518,70,25771864.39073855,113.0,19,716,720,1125,4,7,0.1218537172160873,0.0,0.0,0.0,0.0,0.0
97,23322954.199763395,4,11.029,1237,70,145768463.7485212,115.0,19,1550,434,475,5,23,0.1218537172160873,0.0,0.0,0.0,0.0,0.0
98,34984431.29964509,4,24.019,1518,70,174922156.49822545,130.0,56,2036,862,971,6,20,0.1218537172160873,0.0,0.0,0.0,0.0,0.0
99,16909141.79482846,4,8.617,1518,70,250768840.86124727,121.0,19,1972,314,939,8,21,0.1218537172160873,0.0,0.0,0.0,0.0,0.0
100,37899800.57461552,6,10.593,1518,70,154708152.09329054,144.0,19,923,1840,684,3,27,0.193346153274819,0.0,0.0,0.0,0.0,0.0
101,1311916.173736691,6,3.73,1271,70,104953293.89893527,89.0,19,1923,44,1074,8,8,0.193346153274819,0.0,0.0,0.0,0.0,0.0
102,8163033.969917188,6,12.749,619,69,208157366.23288828,128.0,58,2167,47,333,11,22,0.193346153274819,0.0,0.0,0.0,0.0,0.0
103,75799601.14923103,6,69.787,1518,70,598233775.2239311,202.0,19,716,36,626,12,20,0.193346153274819,0.0,0.0,0.0,0.0,0.0
104,495612.77674497216,10,55.998,2162,70,180169821.19317225,83.0,19,2343,1407,489,10,1,0.0369628059642053,0.0,0.0,0.0,0.0,0.0
105,3615057.900963326,10,13.0,180,11,23631983.34291026,98.0,19,253,1646,1290,10,11,0.0369628059642053,0.0,0.0,0.0,0.0,0.0
106,15159920.229846206,18,14.258,485,70,696773256.7179314,93.0,27,1531,431,519,2,7,0.1263712789380751,0.0,0.0,0.0,0.0,0.0
107,641074.2644781667,0,5.101,451,70,64107426.44781668,90.0,19,441,1885,939,4,26,0.0511966185070899,0.0,0.0,0.0,0.0,0.0
108,1602685.661195417,0,9.82,1404,70,42738284.29854445,80.0,19,1765,509,370,4,30,0.0511966185070899,0.0,0.0,0.0,0.0,0.0
109,22971827.81046764,0,8.676,8,70,66695464.62265718,119.0,19,1104,720,469,5,18,0.0511966185070899,0.0,0.0,0.0,0.0,0.0
110,5342285.537318056,0,7.867,447,70,85476568.5970889,96.0,19,2359,362,939,5,21,0.0511966185070899,0.0,0.0,0.0,0.0,0.0
111,2179652.499225767,0,6.106,1836,27,25642970.57912667,204.0,30,1888,95,439,8,15,0.0511966185070899,0.0,0.0,0.0,0.0,0.0
112,2136914.2149272226,1,18.732,1628,69,10368874.05309384,91.0,23,2311,752,551,5,25,0.0018770374101971,0.0,0.0,0.0,0.0,0.0
113,42738284.29854445,1,12.845,1551,70,67729.49604211832,129.0,19,1116,1959,1002,12,3,0.0018770374101971,0.0,0.0,0.0,0.0,0.0
114,32053713.22390834,3,3.705,471,70,8013428.305977085,118.0,19,1798,314,481,3,1,0.1340637284305091,0.0,0.0,0.0,0.0,0.0
115,4006714.1529885423,3,2.642,102,70,69449711.98513474,107.0,19,1585,747,214,6,25,0.1340637284305091,0.0,0.0,0.0,0.0,0.0
116,6410742.644781668,3,21.174,1306,69,603103003.0679964,100.0,19,1052,2137,1225,8,14,0.1340637284305091,0.0,0.0,0.0,0.0,0.0
117,186979.993806132,3,0.84,153,65,662443.406627439,74.0,64,887,23,919,9,7,0.1340637284305091,0.0,0.0,0.0,0.0,0.0
118,350988.1598017963,3,2.704,2257,65,1146454.4763084548,88.0,64,666,1577,123,9,7,0.1340637284305091,0.0,0.0,0.0,0.0,0.0
119,373959.987612264,3,1.971,743,70,63038969.34035306,110.0,19,2168,1998,481,10,11,0.1340637284305091,0.0,0.0,0.0,0.0,0.0
